# Recording Session
# start_time: 1.73215e+12
# end_time: 1.73215e+12
# Format: marker_id,timestamp,tx,ty,tz,qx,qy,qz,qw,confidence
0,1.73215e+12,-1.4092,-0.446059,2.8868,0.782795,-0.174747,-0.563841,0.196922,0.000926338
0,1.73215e+12,-1.34021,-0.440293,2.85903,0.781888,-0.175406,-0.5621,0.20476,0.00101554
0,1.73215e+12,-1.25912,-0.436554,2.8298,0.781683,-0.175192,-0.56471,0.198449,0.0011101
0,1.73215e+12,-1.16829,-0.463012,2.77939,0.781197,-0.172151,-0.566053,0.199197,0.00122212
0,1.73215e+12,-1.13009,-0.453245,2.79101,0.785911,-0.167717,-0.560541,0.200024,0.00126439
0,1.73215e+12,-1.05422,-0.423491,2.77787,0.78442,-0.170973,-0.561827,0.199507,0.00139856
0,1.73215e+12,-0.994678,-0.412267,2.76594,0.782641,-0.167685,-0.565757,0.198179,0.00144385
0,1.73215e+12,-0.909924,-0.381925,2.72482,0.784186,-0.175524,-0.559103,0.204079,0.00161191
0,1.73215e+12,-0.850222,-0.354864,2.71416,0.782935,-0.1785,-0.560014,0.203799,0.00170039
0,1.73215e+12,-0.792329,-0.342823,2.72017,0.784794,-0.17319,-0.560275,0.200488,0.00179866
0,1.73215e+12,-0.707921,-0.337956,2.67568,0.783065,-0.17275,-0.562793,0.200575,0.00192473
0,1.73215e+12,-0.658722,-0.339252,2.66376,0.784956,-0.174718,-0.558253,0.204134,0.00198463
0,1.73215e+12,-0.58365,-0.322041,2.64258,0.786003,-0.167854,-0.559814,0.201575,0.00213064
0,1.73215e+12,-0.558961,-0.286152,2.6499,0.7895,-0.162557,-0.558924,0.194597,0.00224095
0,1.73215e+12,-0.50021,-0.232051,2.66599,0.790689,-0.167036,-0.55449,0.198622,0.00234296
0,1.73215e+12,-0.438409,-0.210937,2.56139,0.70845,-0.180183,0.67345,-0.109986,0.00247979
0,1.73215e+12,-0.415304,-0.190078,2.60633,0.791763,-0.172366,-0.550577,0.200664,0.00258721
0,1.73215e+12,-0.340943,-0.139861,2.53545,0.79357,-0.182402,-0.545445,0.198658,0.00283313
0,1.73215e+12,-0.280897,-0.132277,2.49158,0.791819,-0.187537,-0.54606,0.199174,0.00295296
0,1.73215e+12,-0.245697,-0.0934858,2.46546,0.795947,-0.184027,-0.541542,0.198328,0.00325052
0,1.73215e+12,-0.231561,-0.0622094,2.47982,0.798321,-0.183999,-0.538694,0.19656,0.0032446
